symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score,atr_percentage
VTP,2025-09-04,102.1,108.0,102.1,105.2,666000,121783042,12811576018.4,83,68,151,3.4600760456273743
ANV,2025-09-04,27.4,28.0,27.0,27.55,2486600,266667500,7346689625.0,62,91,153,4.5009074410163326
SJS,2025-09-04,65.6,67.0,65.3,66.3,38400,297474828,19722581096.4,100,54,154,4.072398190045251
SIP,2025-09-04,60.0,61.4,60.0,60.8,302300,242112943,14720466934.4,92,63,155,2.13815789473684
KDC,2025-09-04,53.8,54.7,53.5,54.7,283800,289806316,15852405485.2,94,61,155,1.3162705667276056
CTR,2025-09-04,89.2,92.2,89.2,91.8,671800,114385879,10500623692.2,82,77,159,2.4400871459694997
CMG,2025-09-04,42.0,42.25,41.55,41.85,723800,211339607,8844562552.95,80,82,162,2.604540023894864
SZC,2025-09-04,35.1,35.6,34.85,34.85,1895200,179985863,6272507325.55,67,96,163,1.9110473457675823
NT2,2025-09-04,23.0,23.5,22.6,22.65,1713000,287876029,6520392056.849999,68,95,163,3.6644591611479016
PAN,2025-09-04,34.15,34.3,33.4,33.4,1549300,216294580,7224238972.0,72,92,164,3.874251497005988
BMP,2025-09-04,152.8,155.0,150.7,152.0,189900,81860938,12442862576.0,97,70,167,3.0000000000000018
KOS,2025-09-04,38.8,39.0,38.8,38.9,384500,216481335,8421123931.5,88,85,173,0.7969151670951142
TLG,2025-09-04,54.5,57.1,53.8,56.9,903300,86453575,4919208417.5,77,98,175,2.70650263620387
CTD,2025-09-04,78.1,78.7,77.9,78.3,352500,103633261,8114484336.299999,90,86,176,1.5581098339719053
BWE,2025-09-04,47.4,47.5,47.2,47.2,139100,219928644,10380631996.8,98,78,176,1.4406779661016942
HT1,2025-09-04,17.65,17.75,17.35,17.45,562800,381589911,6658743946.95,86,94,180,3.83954154727793
PHR,2025-09-04,56.0,56.9,56.0,56.5,329600,135499198,7655704687.0,91,90,181,1.6637168141592933
PPC,2025-09-04,10.95,11.1,10.95,11.05,656900,326235000,3604896750.0,84,99,183,1.4479638009049753
IMP,2025-09-04,54.1,55.0,53.1,54.7,103500,154042762,8426139081.400001,99,84,183,3.4369287020109685
PTB,2025-09-04,50.9,51.4,50.5,51.0,284600,66938403,3413858553.0,93,100,193,1.5294117647058818
SCS,2025-09-04,60.7,61.1,60.5,60.7,269700,94886982,5759639807.400001,96,97,193,1.4629324546952263
